Type:Windows.ApplicationModel:DesignMode
Property:Windows.Media.Capture:CameraCaptureUIPhotoCaptureSettings:AllowCropping:Boolean:{get;set;}
Property:Windows.Media.Capture:CameraCaptureUIPhotoCaptureSettings:CroppedAspectRatio:Size:{get;set;}
Property:Windows.Media.Capture:CameraCaptureUIPhotoCaptureSettings:CroppedSizeInPixels:Size:{get;set;}
Property:Windows.Media.Capture:CameraCaptureUIPhotoCaptureSettings:Format:CameraCaptureUIPhotoFormat:{get;set;}
Property:Windows.Media.Capture:CameraCaptureUIPhotoCaptureSettings:MaxResolution:CameraCaptureUIMaxPhotoResolution:{get;set;}
Type:Windows.Media.Capture:CameraCaptureUIPhotoFormat
Field:Windows.Media.Capture:CameraCaptureUIPhotoFormat:Jpeg:CameraCaptureUIPhotoFormat
Field:Windows.Media.Capture:CameraCaptureUIPhotoFormat:JpegXR:CameraCaptureUIPhotoFormat
Field:Windows.Media.Capture:CameraCaptureUIPhotoFormat:Png:CameraCaptureUIPhotoFormat
Type:Windows.Media.Capture:CameraCaptureUIVideoCaptureSettings
Property:Windows.Media.Capture:CameraCaptureUIVideoCaptureSettings:AllowTrimming:Boolean:{get;set;}
Property:Windows.Media.Capture:CameraCaptureUIVideoCaptureSettings:Format:CameraCaptureUIVideoFormat:{get;set;}
Property:Windows.Media.Capture:CameraCaptureUIVideoCaptureSettings:MaxDurationInSeconds:Single:{get;set;}
Property:Windows.Media.Capture:CameraCaptureUIVideoCaptureSettings:MaxResolution:CameraCaptureUIMaxVideoResolution:{get;set;}
Type:Windows.Media.Capture:CameraCaptureUIVideoFormat
Field:Windows.Media.Capture:CameraCaptureUIVideoFormat:Mp4:CameraCaptureUIVideoFormat
Field:Windows.Media.Capture:CameraCaptureUIVideoFormat:Wmv:CameraCaptureUIVideoFormat
Type:Windows.Media.Capture:CameraOptionsUI
Method:Windows.Media.Capture:CameraOptionsUI:Show:Void:(CameraOptionsUI mediaCapture)
Type:Windows.Media.Capture:CapturedFrame
Property:Windows.Media.Capture:CapturedFrame:CanRead:Boolean:{get;}
Property:Windows.Media.Capture:CapturedFrame:CanWrite:Boolean:{get;}
Method:Windows.Media.Capture:CapturedFrame:CloneStream:IRandomAccessStream:()
Property:Windows.Media.Capture:CapturedFrame:ContentType:String:{get;}
Method:Windows.Media.Capture:CapturedFrame:Dispose:Void:()
Method:Windows.Media.Capture:CapturedFrame:FlushAsync:IAsyncOperation<Boolean>:()
Method:Windows.Media.Capture:CapturedFrame:GetInputStreamAt:IInputStream:(CapturedFrame position)
Method:Windows.Media.Capture:CapturedFrame:GetOutputStreamAt:IOutputStream:(CapturedFrame position)
Property:Windows.Media.Capture:CapturedFrame:Height:UInt32:{get;}
Property:Windows.Media.Capture:CapturedFrame:Position:UInt64:{get;}
Method:Windows.Media.Capture:CapturedFrame:ReadAsync:IAsyncOperationWithProgress<IBuffer,UInt32>:(CapturedFrame buffer|CapturedFrame count|CapturedFrame options)
Method:Windows.Media.Capture:CapturedFrame:Seek:Void:(CapturedFrame position)
Property:Windows.Media.Capture:CapturedFrame:Size:UInt64:{get;set;}
Property:Windows.Media.Capture:CapturedFrame:Width:UInt32:{get;}
Method:Windows.Media.Capture:CapturedFrame:WriteAsync:IAsyncOperationWithProgress<UInt32,UInt32>:(CapturedFrame buffer)
Type:Windows.Media.Capture:CapturedPhoto
Property:Windows.Media.Capture:CapturedPhoto:Frame:CapturedFrame:{get;}
Property:Windows.Media.Capture:CapturedPhoto:Thumbnail:CapturedFrame:{get;}
Type:Windows.Media.Capture:LowLagMediaRecording
Method:Windows.Media.Capture:LowLagMediaRecording:FinishAsync:IAsyncAction:()
Method:Windows.Media.Capture:LowLagMediaRecording:StartAsync:IAsyncAction:()
Method:Windows.Media.Capture:LowLagMediaRecording:StopAsync:IAsyncAction:()
Type:Windows.Media.Capture:LowLagPhotoCapture
Method:Windows.Media.Capture:LowLagPhotoCapture:CaptureAsync:IAsyncOperation<CapturedPhoto>:()
Method:Windows.Media.Capture:LowLagPhotoCapture:FinishAsync:IAsyncAction:()
Type:Windows.Media.Capture:LowLagPhotoSequenceCapture
Method:Windows.Media.Capture:LowLagPhotoSequenceCapture:FinishAsync:IAsyncAction:()
Event:Windows.Media.Capture:LowLagPhotoSequenceCapture:PhotoCaptured:TypedEventHandler<LowLagPhotoSequenceCapture,PhotoCapturedEventArgs>
Method:Windows.Media.Capture:LowLagPhotoSequenceCapture:StartAsync:IAsyncAction:()
Method:Windows.Media.Capture:LowLagPhotoSequenceCapture:StopAsync:IAsyncAction:()
Type:Windows.Media.Capture:MediaCapture
Constructor:Windows.Media.Capture:MediaCapture:.ctor:MediaCapture:()
Method:Windows.Media.Capture:MediaCapture:AddEffectAsync:IAsyncAction:(MediaCapture mediaStreamType|MediaCapture effectActivationID|MediaCapture effectSettings)
Property:Windows.Media.Capture:MediaCapture:AudioDeviceController:AudioDeviceController:{get;}
Method:Windows.Media.Capture:MediaCapture:CapturePhotoToStorageFileAsync:IAsyncAction:(MediaCapture type|MediaCapture file)
Method:Windows.Media.Capture:MediaCapture:CapturePhotoToStreamAsync:IAsyncAction:(MediaCapture type|MediaCapture stream)
Method:Windows.Media.Capture:MediaCapture:ClearEffectsAsync:IAsyncAction:(MediaCapture mediaStreamType)
Method:Windows.Media.Capture:MediaCapture:Dispose:Void:()
Event:Windows.Media.Capture:MediaCapture:Failed:MediaCaptureFailedEventHandler
Method:Windows.Media.Capture:MediaCapture:GetEncoderProperty:Object:(MediaCapture mediaStreamType|MediaCapture propertyId)
Method:Windows.Media.Capture:MediaCapture:GetPreviewMirroring:Boolean:()
Method:Windows.Media.Capture:MediaCapture:GetPreviewRotation:VideoRotation:()
Method:Windows.Media.Capture:MediaCapture:GetRecordRotation:VideoRotation:()
Method:Windows.Media.Capture:MediaCapture:InitializeAsync:IAsyncAction:()
Method:Windows.Media.Capture:MediaCapture:InitializeAsync:IAsyncAction:(MediaCapture mediaCaptureInitializationSettings)
Property:Windows.Media.Capture:MediaCapture:MediaCaptureSettings:MediaCaptureSettings:{get;}
Method:Windows.Media.Capture:MediaCapture:PrepareLowLagPhotoCaptureAsync:IAsyncOperation<LowLagPhotoCapture>:(MediaCapture type)
Method:Windows.Media.Capture:MediaCapture:PrepareLowLagPhotoSequenceCaptureAsync:IAsyncOperation<LowLagPhotoSequenceCapture>:(MediaCapture type)
Method:Windows.Media.Capture:MediaCapture:PrepareLowLagRecordToCustomSinkAsync:IAsyncOperation<LowLagMediaRecording>:(MediaCapture encodingProfile|MediaCapture customMediaSink)
Method:Windows.Media.Capture:MediaCapture:PrepareLowLagRecordToCustomSinkAsync:IAsyncOperation<LowLagMediaRecording>:(MediaCapture encodingProfile|MediaCapture customSinkActivationId|MediaCapture customSinkSettings)
Method:Windows.Media.Capture:MediaCapture:PrepareLowLagRecordToStorageFileAsync:IAsyncOperation<LowLagMediaRecording>:(MediaCapture encodingProfile|MediaCapture file)
Method:Windows.Media.Capture:MediaCapture:PrepareLowLagRecordToStreamAsync:IAsyncOperation<LowLagMediaRecording>:(MediaCapture encodingProfile|MediaCapture stream)
Event:Windows.Media.Capture:MediaCapture:RecordLimitationExceeded:RecordLimitationExceededEventHandler
Method:Windows.Media.Capture:MediaCapture:SetEncoderProperty:Void:(MediaCapture mediaStreamType|MediaCapture propertyId|MediaCapture propertyValue)
Method:Windows.Media.Capture:MediaCapture:SetEncodingPropertiesAsync:IAsyncAction:(MediaCapture mediaStreamType|MediaCapture mediaEncodingProperties|MediaCapture encoderProperties)
Method:Windows.Media.Capture:MediaCapture:SetPreviewMirroring:Void:(MediaCapture value)
Method:Windows.Media.Capture:MediaCapture:SetPreviewRotation:Void:(MediaCapture value)
Method:Windows.Media.Capture:MediaCapture:SetRecordRotation:Void:(MediaCapture value)
Method:Windows.Media.Capture:MediaCapture:StartPreviewAsync:IAsyncAction:()
Method:Windows.Media.Capture:MediaCapture:StartPreviewToCustomSinkAsync:IAsyncAction:(MediaCapture encodingProfile|MediaCapture customMediaSink)
Method:Windows.Media.Capture:MediaCapture:StartPreviewToCustomSinkAsync:IAsyncAction:(MediaCapture encodingProfile|MediaCapture customSinkActivationId|MediaCapture customSinkSettings)
Method:Windows.Media.Capture:MediaCapture:StartRecordToCustomSinkAsync:IAsyncAction:(MediaCapture encodingProfile|MediaCapture customMediaSink)
Method:Windows.Media.Capture:MediaCapture:StartRecordToCustomSinkAsync:IAsyncAction:(MediaCapture encodingProfile|MediaCapture customSinkActivationId|MediaCapture customSinkSettings)
Method:Windows.Media.Capture:MediaCapture:StartRecordToStorageFileAsync:IAsyncAction:(MediaCapture encodingProfile|MediaCapture file)
Method:Windows.Media.Capture:MediaCapture:StartRecordToStreamAsync:IAsyncAction:(MediaCapture encodingProfile|MediaCapture stream)
Method:Windows.Media.Capture:MediaCapture:StopPreviewAsync:IAsyncAction:()
Method:Windows.Media.Capture:MediaCapture:StopRecordAsync:IAsyncAction:()
Property:Windows.Media.Capture:MediaCapture:VideoDeviceController:VideoDeviceController:{get;}
Type:Windows.Media.Capture:MediaCaptureFailedEventArgs
Property:Windows.Media.Capture:MediaCaptureFailedEventArgs:Code:UInt32:{get;}
Property:Windows.Media.Capture:MediaCaptureFailedEventArgs:Message:String:{get;}
Type:Windows.Media.Capture:MediaCaptureFailedEventHandler
Constructor:Windows.Media.Capture:MediaCaptureFailedEventHandler:.ctor:MediaCaptureFailedEventHandler:(MediaCaptureFailedEventHandler object|MediaCaptureFailedEventHandler method)
Type:Windows.Media.Capture:MediaCaptureInitializationSettings
Constructor:Windows.Media.Capture:MediaCaptureInitializationSettings:.ctor:MediaCaptureInitializationSettings:()
Property:Windows.Media.Capture:MediaCaptureInitializationSettings:AudioDeviceId:String:{get;set;}
Property:Windows.Media.Capture:MediaCaptureInitializationSettings:AudioProcessing:AudioProcessing:{get;set;}
Property:Windows.Media.Capture:MediaCaptureInitializationSettings:MediaCategory:MediaCategory:{get;set;}
Property:Windows.Media.Capture:MediaCaptureInitializationSettings:PhotoCaptureSource:PhotoCaptureSource:{get;set;}
Property:Windows.Media.Capture:MediaCaptureInitializationSettings:StreamingCaptureMode:StreamingCaptureMode:{get;set;}
Property:Windows.Media.Capture:MediaCaptureInitializationSettings:VideoDeviceId:String:{get;set;}
Type:Windows.Media.Capture:MediaCaptureSettings
Property:Windows.Media.Capture:MediaCaptureSettings:AudioDeviceId:String:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:AudioProcessing:AudioProcessing:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:CameraSoundRequiredForRegion:Boolean:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:ConcurrentRecordAndPhotoSequenceSupported:Boolean:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:ConcurrentRecordAndPhotoSupported:Boolean:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:Horizontal35mmEquivalentFocalLength:Nullable<UInt32>:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:MediaCategory:MediaCategory:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:PhotoCaptureSource:PhotoCaptureSource:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:PitchOffsetDegrees:Nullable<Int32>:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:StreamingCaptureMode:StreamingCaptureMode:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:Vertical35mmEquivalentFocalLength:Nullable<UInt32>:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:VideoDeviceCharacteristic:VideoDeviceCharacteristic:{get;}
Property:Windows.Media.Capture:MediaCaptureSettings:VideoDeviceId:String:{get;}
Type:Windows.Media.Capture:MediaCategory
Field:Windows.Media.Capture:MediaCategory:Communications:MediaCategory
Field:Windows.Media.Capture:MediaCategory:Other:MediaCategory
Type:Windows.Media.Capture:MediaStreamType
Field:Windows.Media.Capture:MediaStreamType:Audio:MediaStreamType
Field:Windows.Media.Capture:MediaStreamType:Photo:MediaStreamType
Field:Windows.Media.Capture:MediaStreamType:VideoPreview:MediaStreamType
Field:Windows.Media.Capture:MediaStreamType:VideoRecord:MediaStreamType
Type:Windows.Media.Capture:PhotoCapturedEventArgs
Property:Windows.Media.Capture:PhotoCapturedEventArgs:CaptureTimeOffset:TimeSpan:{get;}
Property:Windows.Media.Capture:PhotoCapturedEventArgs:Frame:CapturedFrame:{get;}
Property:Windows.Media.Capture:PhotoCapturedEventArgs:Thumbnail:CapturedFrame:{get;}
Type:Windows.Media.Capture:PhotoCaptureSource
Field:Windows.Media.Capture:PhotoCaptureSource:Auto:PhotoCaptureSource
Field:Windows.Media.Capture:PhotoCaptureSource:Photo:PhotoCaptureSource
Field:Windows.Media.Capture:PhotoCaptureSource:VideoPreview:PhotoCaptureSource
Type:Windows.Media.Capture:PowerlineFrequency
Field:Windows.Media.Capture:PowerlineFrequency:Disabled:PowerlineFrequency
Field:Windows.Media.Capture:PowerlineFrequency:FiftyHertz:PowerlineFrequency
Field:Windows.Media.Capture:PowerlineFrequency:SixtyHertz:PowerlineFrequency
Type:Windows.Media.Capture:RecordLimitationExceededEventHandler
Constructor:Windows.Media.Capture:RecordLimitationExceededEventHandler:.ctor:RecordLimitationExceededEventHandler:(RecordLimitationExceededEventHandler object|RecordLimitationExceededEventHandler method)
Type:Windows.Media.Capture:StreamingCaptureMode
Field:Windows.Media.Capture:StreamingCaptureMode:Audio:StreamingCaptureMode
Field:Windows.Media.Capture:StreamingCaptureMode:AudioAndVideo:StreamingCaptureMode
Field:Windows.Media.Capture:StreamingCaptureMode:Video:StreamingCaptureMode
Type:Windows.Media.Capture:VideoDeviceCharacteristic
Field:Windows.Media.Capture:VideoDeviceCharacteristic:AllStreamsIdentical:VideoDeviceCharacteristic
Field:Windows.Media.Capture:VideoDeviceCharacteristic:AllStreamsIndependent:VideoDeviceCharacteristic
Field:Windows.Media.Capture:VideoDeviceCharacteristic:PreviewPhotoStreamsIdentical:VideoDeviceCharacteristic
Field:Windows.Media.Capture:VideoDeviceCharacteristic:PreviewRecordStreamsIdentical:VideoDeviceCharacteristic
Field:Windows.Media.Capture:VideoDeviceCharacteristic:RecordPhotoStreamsIdentical:VideoDeviceCharacteristic
Type:Windows.Media.Capture:VideoRotation
Field:Windows.Media.Capture:VideoRotation:Clockwise180Degrees:VideoRotation
Field:Windows.Media.Capture:VideoRotation:Clockwise270Degrees:VideoRotation
Field:Windows.Media.Capture:VideoRotation:Clockwise90Degrees:VideoRotation
Field:Windows.Media.Capture:VideoRotation:None:VideoRotation
Type:Windows.Media.ContentRestrictions:ContentAccessRestrictionLevel
Field:Windows.Media.ContentRestrictions:ContentAccessRestrictionLevel:Allow:ContentAccessRestrictionLevel
Field:Windows.Media.ContentRestrictions:ContentAccessRestrictionLevel:Block:ContentAccessRestrictionLevel
Field:Windows.Media.ContentRestrictions:ContentAccessRestrictionLevel:Hide:ContentAccessRestrictionLevel
Field:Windows.Media.ContentRestrictions:ContentAccessRestrictionLevel:Warn:ContentAccessRestrictionLevel
Type:Windows.Media.ContentRestrictions:ContentRestrictionsBrowsePolicy
Property:Windows.Media.ContentRestrictions:ContentRestrictionsBrowsePolicy:GeographicRegion:String:{get;}
Property:Windows.Media.ContentRestrictions:ContentRestrictionsBrowsePolicy:MaxBrowsableAgeRating:Nullable<UInt32>:{get;}
Property:Windows.Media.ContentRestrictions:ContentRestrictionsBrowsePolicy:PreferredAgeRating:Nullable<UInt32>:{get;}
Type:Windows.Media.ContentRestrictions:RatedContentCategory
Field:Windows.Media.ContentRestrictions:RatedContentCategory:Application:RatedContentCategory
Field:Windows.Media.ContentRestrictions:RatedContentCategory:Game:RatedContentCategory
Field:Windows.Media.ContentRestrictions:RatedContentCategory:General:RatedContentCategory
Field:Windows.Media.ContentRestrictions:RatedContentCategory:Movie:RatedContentCategory
Field:Windows.Media.ContentRestrictions:RatedContentCategory:Music:RatedContentCategory
Field:Windows.Media.ContentRestrictions:RatedContentCategory:Television:RatedContentCategory
Type:Windows.Media.ContentRestrictions:RatedContentDescription
Constructor:Windows.Media.ContentRestrictions:RatedContentDescription:.ctor:RatedContentDescription:(RatedContentDescription id|RatedContentDescription title|RatedContentDescription category)
Property:Windows.Media.ContentRestrictions:RatedContentDescription:Category:RatedContentCategory:{get;set;}
Property:Windows.Media.ContentRestrictions:RatedContentDescription:Id:String:{get;set;}
Property:Windows.Media.ContentRestrictions:RatedContentDescription:Image:IRandomAccessStreamReference:{get;set;}
Property:Windows.Media.ContentRestrictions:RatedContentDescription:Ratings:IList<String>:{get;set;}
Property:Windows.Media.ContentRestrictions:RatedContentDescription:Title:String:{get;set;}
Type:Windows.Media.ContentRestrictions:RatedContentRestrictions
Constructor:Windows.Media.ContentRestrictions:RatedContentRestrictions:.ctor:RatedContentRestrictions:(RatedContentRestrictions maxAgeRating)
Constructor:Windows.Media.ContentRestrictions:RatedContentRestrictions:.ctor:RatedContentRestrictions:()
Method:Windows.Media.ContentRestrictions:RatedContentRestrictions:GetBrowsePolicyAsync:IAsyncOperation<ContentRestrictionsBrowsePolicy>:()
Method:Windows.Media.ContentRestrictions:RatedContentRestrictions:GetRestrictionLevelAsync:IAsyncOperation<ContentAccessRestrictionLevel>:(RatedContentRestrictions RatedContentDescription)
Method:Windows.Media.ContentRestrictions:RatedContentRestrictions:RequestContentAccessAsync:IAsyncOperation<Boolean>:(RatedContentRestrictions RatedContentDescription)
Event:Windows.Media.ContentRestrictions:RatedContentRestrictions:RestrictionsChanged:EventHandler<Object>
Type:Windows.Media.Core:AudioStreamDescriptor
Constructor:Windows.Media.Core:AudioStreamDescriptor:.ctor:AudioStreamDescriptor:(AudioStreamDescriptor encodingProperties)
Property:Windows.Media.Core:AudioStreamDescriptor:EncodingProperties:AudioEncodingProperties:{get;}
Property:Windows.Media.Core:AudioStreamDescriptor:IsSelected:Boolean:{get;}
Property:Windows.Media.Core:AudioStreamDescriptor:Language:String:{get;set;}
Property:Windows.Media.Core:AudioStreamDescriptor:Name:String:{get;set;}
Type:Windows.Media.Core:IMediaSource
Type:Windows.Media.Core:IMediaStreamDescriptor
Property:Windows.Media.Core:IMediaStreamDescriptor:IsSelected:Boolean:{get;}
Property:Windows.Media.Core:IMediaStreamDescriptor:Language:String:{get;set;}
Property:Windows.Media.Core:IMediaStreamDescriptor:Name:String:{get;set;}
Type:Windows.Media.Core:MediaStreamSample
Property:Windows.Media.Core:MediaStreamSample:Buffer:Buffer:{get;}
Method:Windows.Media.Core:MediaStreamSample:CreateFromBuffer:MediaStreamSample:(MediaStreamSample buffer|MediaStreamSample timestamp)
Method:Windows.Media.Core:MediaStreamSample:CreateFromStreamAsync:IAsyncOperation<MediaStreamSample>:(MediaStreamSample stream|MediaStreamSample count|MediaStreamSample timestamp)
Property:Windows.Media.Core:MediaStreamSample:DecodeTimestamp:TimeSpan:{get;set;}
Property:Windows.Media.Core:MediaStreamSample:Discontinuous:Boolean:{get;set;}
Property:Windows.Media.Core:MediaStreamSample:Duration:TimeSpan:{get;set;}
Property:Windows.Media.Core:MediaStreamSample:ExtendedProperties:MediaStreamSamplePropertySet:{get;}
Property:Windows.Media.Core:MediaStreamSample:KeyFrame:Boolean:{get;set;}
Event:Windows.Media.Core:MediaStreamSample:Processed:TypedEventHandler<MediaStreamSample,Object>
Property:Windows.Media.Core:MediaStreamSample:Protection:MediaStreamSampleProtectionProperties:{get;}
Property:Windows.Media.Core:MediaStreamSample:Timestamp:TimeSpan:{get;}
Type:Windows.Media.Core:MediaStreamSamplePropertySet
Type:Windows.Media.Core:MediaStreamSampleProtectionProperties
Method:Windows.Media.Core:MediaStreamSampleProtectionProperties:GetInitializationVector:Void:(MediaStreamSampleProtectionProperties value)
Method:Windows.Media.Core:MediaStreamSampleProtectionProperties:GetKeyIdentifier:Void:(MediaStreamSampleProtectionProperties value)
Method:Windows.Media.Core:MediaStreamSampleProtectionProperties:GetSubSampleMapping:Void:(MediaStreamSampleProtectionProperties value)
Method:Windows.Media.Core:MediaStreamSampleProtectionProperties:SetInitializationVector:Void:(MediaStreamSampleProtectionProperties value)
Method:Windows.Media.Core:MediaStreamSampleProtectionProperties:SetKeyIdentifier:Void:(MediaStreamSampleProtectionProperties value)
Method:Windows.Media.Core:MediaStreamSampleProtectionProperties:SetSubSampleMapping:Void:(MediaStreamSampleProtectionProperties value)
Type:Windows.Media.Core:MediaStreamSource
Constructor:Windows.Media.Core:MediaStreamSource:.ctor:MediaStreamSource:(MediaStreamSource descriptor)
Constructor:Windows.Media.Core:MediaStreamSource:.ctor:MediaStreamSource:(MediaStreamSource descriptor|MediaStreamSource descriptor2)
Method:Windows.Media.Core:MediaStreamSource:AddProtectionKey:Void:(MediaStreamSource streamDescriptor|MediaStreamSource keyIdentifier|MediaStreamSource licenseData)
Method:Windows.Media.Core:MediaStreamSource:AddStreamDescriptor:Void:(MediaStreamSource descriptor)
Property:Windows.Media.Core:MediaStreamSource:BufferTime:TimeSpan:{get;set;}
Property:Windows.Media.Core:MediaStreamSource:CanSeek:Boolean:{get;set;}
Event:Windows.Media.Core:MediaStreamSource:Closed:TypedEventHandler<MediaStreamSource,MediaStreamSourceClosedEventArgs>
Property:Windows.Media.Core:MediaStreamSource:Duration:TimeSpan:{get;set;}
Property:Windows.Media.Core:MediaStreamSource:MediaProtectionManager:MediaProtectionManager:{get;set;}
Property:Windows.Media.Core:MediaStreamSource:MusicProperties:MusicProperties:{get;}
Method:Windows.Media.Core:MediaStreamSource:NotifyError:Void:(MediaStreamSource errorStatus)
Event:Windows.Media.Core:MediaStreamSource:Paused:TypedEventHandler<MediaStreamSource,Object>
Event:Windows.Media.Core:MediaStreamSource:SampleRequested:TypedEventHandler<MediaStreamSource,MediaStreamSourceSampleRequestedEventArgs>
Method:Windows.Media.Core:MediaStreamSource:SetBufferedRange:Void:(MediaStreamSource startOffset|MediaStreamSource endOffset)
Event:Windows.Media.Core:MediaStreamSource:Starting:TypedEventHandler<MediaStreamSource,MediaStreamSourceStartingEventArgs>
Event:Windows.Media.Core:MediaStreamSource:SwitchStreamsRequested:TypedEventHandler<MediaStreamSource,MediaStreamSourceSwitchStreamsRequestedEventArgs>
Property:Windows.Media.Core:MediaStreamSource:Thumbnail:IRandomAccessStreamReference:{get;set;}
Property:Windows.Media.Core:MediaStreamSource:VideoProperties:VideoProperties:{get;}
Type:Windows.Media.Core:MediaStreamSourceClosedEventArgs
Property:Windows.Media.Core:MediaStreamSourceClosedEventArgs:Request:MediaStreamSourceClosedRequest:{get;}
Type:Windows.Media.Core:MediaStreamSourceClosedReason
Field:Windows.Media.Core:MediaStreamSourceClosedReason:AppReportedError:MediaStreamSourceClosedReason
Field:Windows.Media.Core:MediaStreamSourceClosedReason:Done:MediaStreamSourceClosedReason
Field:Windows.Media.Core:MediaStreamSourceClosedReason:MissingSampleRequestedEventHandler:MediaStreamSourceClosedReason
Field:Windows.Media.Core:MediaStreamSourceClosedReason:ProtectionSystemFailure:MediaStreamSourceClosedReason
Field:Windows.Media.Core:MediaStreamSourceClosedReason:UnknownError:MediaStreamSourceClosedReason
Field:Windows.Media.Core:MediaStreamSourceClosedReason:UnsupportedEncodingFormat:MediaStreamSourceClosedReason
Field:Windows.Media.Core:MediaStreamSourceClosedReason:UnsupportedProtectionSystem:MediaStreamSourceClosedReason
Type:Windows.Media.Core:MediaStreamSourceClosedRequest
Property:Windows.Media.Core:MediaStreamSourceClosedRequest:Reason:MediaStreamSourceClosedReason:{get;}
Type:Windows.Media.Core:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:ConnectionToServerLost:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:DecodeError:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:FailedToConnectToServer:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:FailedToOpenFile:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:Other:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:OutOfMemory:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:UnspecifiedNetworkError:MediaStreamSourceErrorStatus
Field:Windows.Media.Core:MediaStreamSourceErrorStatus:UnsupportedMediaFormat:MediaStreamSourceErrorStatus
Type:Windows.Media.Core:MediaStreamSourceSampleRequest
Method:Windows.Media.Core:MediaStreamSourceSampleRequest:GetDeferral:MediaStreamSourceSampleRequestDeferral:()
Method:Windows.Media.Core:MediaStreamSourceSampleRequest:ReportSampleProgress:Void:(MediaStreamSourceSampleRequest progress)
Property:Windows.Media.Core:MediaStreamSourceSampleRequest:Sample:MediaStreamSample:{get;set;}
Property:Windows.Media.Core:MediaStreamSourceSampleRequest:StreamDescriptor:IMediaStreamDescriptor:{get;}
Type:Windows.Media.Core:MediaStreamSourceSampleRequestDeferral
Method:Windows.Media.Core:MediaStreamSourceSampleRequestDeferral:Complete:Void:()
Type:Windows.Media.Core:MediaStreamSourceSampleRequestedEventArgs
Property:Windows.Media.Core:MediaStreamSourceSampleRequestedEventArgs:Request:MediaStreamSourceSampleRequest:{get;}
Type:Windows.Media.Core:MediaStreamSourceStartingEventArgs
Property:Windows.Media.Core:MediaStreamSourceStartingEventArgs:Request:MediaStreamSourceStartingRequest:{get;}
Type:Windows.Media.Core:MediaStreamSourceStartingRequest
Method:Windows.Media.Core:MediaStreamSourceStartingRequest:GetDeferral:MediaStreamSourceStartingRequestDeferral:()
Method:Windows.Media.Core:MediaStreamSourceStartingRequest:SetActualStartPosition:Void:(MediaStreamSourceStartingRequest position)
Property:Windows.Media.Core:MediaStreamSourceStartingRequest:StartPosition:Nullable<TimeSpan>:{get;}
Type:Windows.Media.Core:MediaStreamSourceStartingRequestDeferral
Method:Windows.Media.Core:MediaStreamSourceStartingRequestDeferral:Complete:Void:()
Type:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequest
Method:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequest:GetDeferral:MediaStreamSourceSwitchStreamsRequestDeferral:()
Property:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequest:NewStreamDescriptor:IMediaStreamDescriptor:{get;}
Property:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequest:OldStreamDescriptor:IMediaStreamDescriptor:{get;}
Type:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequestDeferral
Method:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequestDeferral:Complete:Void:()
Type:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequestedEventArgs
Property:Windows.Media.Core:MediaStreamSourceSwitchStreamsRequestedEventArgs:Request:MediaStreamSourceSwitchStreamsRequest:{get;}
Type:Windows.Media.Core:VideoStreamDescriptor
Constructor:Windows.Media.Core:VideoStreamDescriptor:.ctor:VideoStreamDescriptor:(VideoStreamDescriptor encodingProperties)
Property:Windows.Media.Core:VideoStreamDescriptor:EncodingProperties:VideoEncodingProperties:{get;}
Property:Windows.Media.Core:VideoStreamDescriptor:IsSelected:Boolean:{get;}
Property:Windows.Media.Core:VideoStreamDescriptor:Language:String:{get;set;}
Property:Windows.Media.Core:VideoStreamDescriptor:Name:String:{get;set;}
Type:Windows.Media.Devices:AudioDeviceController
Method:Windows.Media.Devices:AudioDeviceController:GetAvailableMediaStreamProperties:IReadOnlyList<IMediaEncodingProperties>:(AudioDeviceController mediaStreamType)
Method:Windows.Media.Devices:AudioDeviceController:GetMediaStreamProperties:IMediaEncodingProperties:(AudioDeviceController mediaStreamType)
Property:Windows.Media.Devices:AudioDeviceController:Muted:Boolean:{get;set;}
