Type:Windows.ApplicationModel:DesignMode
Property:Windows.ApplicationModel.Activation:AppointmentsProviderRemoveAppointmentActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderRemoveAppointmentActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderRemoveAppointmentActivatedEventArgs:RemoveAppointmentOperation:RemoveAppointmentOperation:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderRemoveAppointmentActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderRemoveAppointmentActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:AppointmentsProviderReplaceAppointmentActivatedEventArgs
Property:Windows.ApplicationModel.Activation:AppointmentsProviderReplaceAppointmentActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderReplaceAppointmentActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderReplaceAppointmentActivatedEventArgs:ReplaceAppointmentOperation:ReplaceAppointmentOperation:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderReplaceAppointmentActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderReplaceAppointmentActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:AppointmentsProviderShowTimeFrameActivatedEventArgs
Property:Windows.ApplicationModel.Activation:AppointmentsProviderShowTimeFrameActivatedEventArgs:Duration:TimeSpan:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderShowTimeFrameActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderShowTimeFrameActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderShowTimeFrameActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderShowTimeFrameActivatedEventArgs:TimeToShow:DateTimeOffset:{get;}
Property:Windows.ApplicationModel.Activation:AppointmentsProviderShowTimeFrameActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:CachedFileUpdaterActivatedEventArgs
Property:Windows.ApplicationModel.Activation:CachedFileUpdaterActivatedEventArgs:CachedFileUpdaterUI:CachedFileUpdaterUI:{get;}
Property:Windows.ApplicationModel.Activation:CachedFileUpdaterActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:CachedFileUpdaterActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
